29.2,21.4,25.3,0.0
28.9,19.5,24.2,0.0
30.3,17.9,24.1,0.0
29.2,17.1,23.2,0.0
27.1,17.6,22.4,0.0
26.7,13.8,20.3,0.0
27.2,14.9,21.1,0.0
27.5,19.8,23.7,2.0
27.5,17.7,22.6,0.0
29.2,20.6,24.9,0.0
29.6,20.0,24.8,6.0
29.1,21.4,25.3,3.0
28.2,21.4,24.8,3.0
27.9,19.8,23.9,0.0
24.2,18.2,21.2,0.0
26.1,13.3,19.7,0.0
21.7,16.7,19.2,8.0
22.3,14.5,18.4,0.0
25.4,11.0,18.2,0.0
25.9,10.7,18.3,0.0
29.0,15.0,22.0,0.0
26.3,18.2,22.3,0.0
22.7,18.2,20.5,19.0
26.1,16.6,21.4,33.0
25.4,15.0,20.2,0.0
25.6,15.2,20.4,0.0
24.8,13.9,19.4,0.0
22.2,15.3,18.8,0.0
24.2,12.3,18.3,0.0
25.4,19.0,22.2,0.0
26.7,20.6,23.7,0.0
27.9,17.5,22.7,0.0
27.4,20.4,23.9,0.0
25.2,18.9,22.1,8.0
27.5,17.7,22.6,0.0
24.7,20.6,22.7,0.0
22.1,18.0,20.1,10.0
23.0,14.1,18.6,0.0
24.8,16.1,20.5,0.0
25.9,18.3,22.1,0.0
26.2,15.4,20.8,0.0
25.2,16.6,20.9,0.0
24.0,16.9,20.5,0.0
25.1,15.5,20.3,0.0
22.5,12.8,17.7,0.0
18.3,11.5,14.9,0.0
20.7,9.5,15.1,0.0
22.0,8.4,15.2,0.0
21.4,11.0,16.2,0.0
20.7,12.3,16.5,0.0
20.6,13.4,17.0,0.0
19.9,7.7,13.8,0.0
20.1,7.4,13.8,0.0
20.8,9.6,15.2,0.0
20.9,8.2,14.6,0.0
21.8,8.8,15.3,0.0
20.9,14.0,17.5,4.0
20.0,15.2,17.6,36.0
15.6,9.5,12.6,1.0
15.5,9.0,12.3,0.0
16.3,4.1,10.2,0.0
17.7,6.8,12.3,0.0
16.5,11.6,14.1,30.0
18.0,11.4,14.7,2.0
18.9,13.5,16.2,6.0
16.1,12.7,14.4,18.0
16.8,10.8,13.8,0.0
19.7,9.1,14.4,8.0
19.0,11.3,15.2,3.0
16.7,6.3,11.5,0.0
13.5,10.3,11.9,0.0
15.6,5.2,10.4,0.0
16.3,4.8,10.6,0.0
18.0,7.2,12.6,0.0
18.7,9.1,13.9,0.0
20.0,14.4,17.2,0.0
22.0,14.2,18.1,0.0
19.9,13.9,16.9,0.0
19.4,14.4,16.9,15.0
18.7,15.0,16.9,4.0
18.1,14.4,16.3,5.0
19.8,14.8,17.3,0.0
20.6,16.8,18.7,0.0
19.2,16.5,17.9,0.0
18.5,9.2,13.9,18.0
11.5,7.7,9.6,5.0
10.3,6.9,8.6,0.0
11.2,7.1,9.2,0.0
12.4,8.8,10.6,6.0
8.9,5.8,7.4,29.0
10.9,5.5,8.2,0.0
11.6,6.6,9.1,0.0
9.4,6.3,7.9,0.0
10.9,0.6,5.8,0.0
13.2,7.4,10.3,0.0
15.0,2.1,8.6,0.0
17.2,10.6,13.9,0.0
17.6,12.4,15.0,0.0
14.2,8.4,11.3,0.0
13.5,7.5,10.5,0.0
11.6,8.4,10.0,0.0
17.3,7.8,12.6,0.0
17.0,8.6,12.8,0.0
17.1,9.7,13.4,0.0
13.2,7.7,10.5,0.0
14.8,1.5,8.2,0.0
12.0,0.9,6.5,0.0
13.2,8.2,10.7,0.0
15.4,3.7,9.6,0.0
11.9,6.9,9.4,0.0
11.4,1.5,6.5,0.0
7.1,2.6,4.9,0.0
6.1,-0.3,2.9,0.0
6.5,-0.7,2.9,0.0
8.3,-1.7,3.3,0.0
9.5,0.5,5.0,0.0
12.9,-1.4,5.8,0.0
